Title: Project Name,Blog Slug,Collections,Events,Funder(s),Initial Review of Data Complete,Notes/Comments re This Page Content (REVIEW ),Output: Project URL,Outputs,Outputs: Other,Project,Project Description (Internal Use),Project Description (Public),Project Partners,Project Status,Project Tag(s),Project Team,Related Blog,Resource,SBD www Status,SOW Project Dates,Slug (for SBD www),Team Directory,Topics,Who to Check Data
USER,,,,https://www.notion.so/e0f05d6495df4f43b28b8050aba68948,No,NP ADD INFO,,SLOAN USER Zine (https://www.notion.so/SLOAN-USER-Zine-e2a9551e53724918a8a01ce65a447387?pvs=21),,Alfred P Sloan Foundation | USER (https://www.notion.so/Alfred-P-Sloan-Foundation-USER-65c1f91811eb4cec86f39aa4a4a1f734?pvs=21),"We are researching how usability and design presents in scientific open source software, with the goal of investigating what are the conditions that enable scientific open source teams to prioritize and focus on usability successfully.",,,complete,,"susan-kennedy,eriol-fox,katie-wilson,ngọc-triệu,jan-dittrich",,,Publish,"September 1, 2022 → May 31, 2023",USER,"Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Jan Dittrich (https://www.notion.so/Jan-Dittrich-3fc525179bd64612b94174c70d5c2f3c?pvs=21)",,
Scivision,,,,https://www.notion.so/56b527629be94782bd49d9910172dad3,No,,,,,The Alan Turing Institute | Scivision (https://www.notion.so/The-Alan-Turing-Institute-Scivision-6b7f4e2dca0746bfa8adb012de19e387?pvs=21),A collaboration in the form of a 2-day coaching workshop for its project: scivision,,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"georgia-bullen,eriol-fox,nicola-pratt",,,Publish,"March 27, 2023 → March 31, 2023",Scivision,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,
Tor Rapid Response Article Graphics (Learning Lab),,,,https://www.notion.so/20d0e5a254a34e61b6e56a27cd10fa6a,No,,,,,OTF LL 1 | T-1 | Tor Rapid Response Article Graphics (https://www.notion.so/OTF-LL-1-T-1-Tor-Rapid-Response-Article-Graphics-f9f2b47b633e4294a19b4ffe2e1c5495?pvs=21),,,,complete,,"eriol-fox,aaron-brunmeier",,,Do Not Publish,"April 1, 2022 → March 31, 2023",,"Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21)",,
TPDL: Deceptive Design (Web Foundation),,,,"https://www.notion.so/43af6d5e9823406c9c2cc0f1686916e2, https://www.notion.so/ba117a16228f447fa55e0c671110ab4b",No,NP ADD INFO,,,,Web Foundation | TPDL Deceptive Design (https://www.notion.so/Web-Foundation-TPDL-Deceptive-Design-38251742154a4b4895e497c525483a6a?pvs=21),,,"https://www.notion.so/43af6d5e9823406c9c2cc0f1686916e2, https://www.notion.so/46f34b5887e944d398a9d33e5b7f50b8, https://www.notion.so/5fe36767ae1d4a6eb1dc166980a81b2d",complete,,"ame-elliott,nicola-pratt,georgia-bullen,ngọc-triệu",,,Publish,"February 14, 2022 → September 30, 2022",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,
Tech Policy Design Lab Playbook,,,,https://www.notion.so/ba117a16228f447fa55e0c671110ab4b,No,NP ADD INFO,,,,Web Foundation | TPDL Productization (https://www.notion.so/Web-Foundation-TPDL-Productization-b4f6eed2ba3e417aa39a6ccfb4474b66?pvs=21),,,,complete,,"ame-elliott,nicola-pratt,georgia-bullen,ngọc-triệu",,,Publish,"October 17, 2022 → January 31, 2023",TPDL,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21)",,
WREN,,,,https://www.notion.so/14508380dfa5413ca6fe3809519f29a2,No,NP ADD INFO,,,,NED | WREN (Developing Digital Technology Networks to Support Civil Society) (https://www.notion.so/NED-WREN-Developing-Digital-Technology-Networks-to-Support-Civil-Society-f292847a28d4421e9160dcce7bc43437?pvs=21),,,,complete,,"georgia-bullen,piper-ru",,,Do Not Publish,"October 1, 2020 → April 17, 2024",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Piper Ru (https://www.notion.so/Piper-Ru-0cb4265e13ac404fa204f53c63238974?pvs=21)",,
Snikket,https://simplysecure.org/blog/on-getting-things-done-a-conversation-with-matthew-wild-from-snikket/,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d",No,"Marked as a Current project but there’s an end date.  Dates do not match website

UX Design not tagged on the website

Funders not listed.",,,,"OTF Usability Lab 1 | Snikket 1.0 (https://www.notion.so/OTF-Usability-Lab-1-Snikket-1-0-5416dba3754c4f128d0830f3515a4418?pvs=21), OTF SUA Lab 2 | T-008 | Coaching Snikket 2023 (https://www.notion.so/OTF-SUA-Lab-2-T-008-Coaching-Snikket-2023-b9e815c394954e80ac9374ea6b95c0c2?pvs=21), OTF SUA Lab 2 | T-002 | Snikket 2.0 (https://www.notion.so/OTF-SUA-Lab-2-T-002-Snikket-2-0-b56ae8ca1c934ab49fbc06349e512dd3?pvs=21)","Three projects to improve Snikket's usability by balancing the ease of learning and efficiency of use.

Snikket is an XMPP-based messaging platform that aims to provide an open and secure alternative to proprietary messaging apps such as WhatsApp, Facebook Messenger, and Telegram. Unlike most other messaging apps, Snikket can be hosted on an individual server (including Raspberry Pis) for more control and security. While the XMPP ecosystem remains fragmented and highly technical, Snikket’s goal is to fill the gap with consistency and usability.

Through the OTF Usability Lab, our work with Snikket focused on improving the user experience  across platforms and balancing out the ease of learning versus the efficiency of use. In particular, we did a heuristic review of Snikket apps and web interfaces, conducted a user study, carried out several UX design explorations and provided design recommendations to address areas where there are barriers for adaptation and improving the onboarding experience. An upcoming blog post will explore in more detail some of the implementations of this work.

- Also
Design retainer to help with UX/UI aspects of Snikket XMPP messaging app on iOS and Android.

Also:
 Improving Snikket UI/UX design.,Design retainer to help with UX/UI aspects of Snikket XMPP messaging app on iOS and Android., Improving Snikket UI/UX design.",,,"complete,complete,complete","https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/91abeab8e5dd488e84f58088e7586393, https://www.notion.so/ac4eef262e9b456297eb5571e1afa995,https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4","ngọc-triệu,karissa-mckelvey,molly-wilson,abhishek-sharma,ame-elliott",On Getting Things Done: A Conversation with Matthew Wild from Snikket (https://www.notion.so/On-Getting-Things-Done-A-Conversation-with-Matthew-Wild-from-Snikket-33c496b336d94bac8db8a475dccaa423?pvs=21),,Publish,"July 13, 2021 → November 13, 2021,March 13, 2023 → November 30, 2023,April 7, 2022 → April 30, 2022",snikket,"ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,
The Turing Way Practitioners’ Hub,,,,https://www.notion.so/56b527629be94782bd49d9910172dad3,No,,https://www.turing.ac.uk/turing-way-practitioners-hub,,,The Alan Turing Institute | The Turing Way Practitioners’ Hub (https://www.notion.so/The-Alan-Turing-Institute-The-Turing-Way-Practitioners-Hub-ea0f60141333441aadc007a845150967?pvs=21),"The Turing Way Practitioners Hub is a forum for cross-sector engagement, knowledge exchange and strategic collaboration with organisations across different sectors. The participating organisations will join efforts in building a shared understanding of open science, reproducibility, accessibility, and research ethics, promoting quality, rigour and integrity in the UK's data science and AI research.",,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"georgia-bullen,eriol-fox",,,Publish,"September 4, 2023 → December 31, 2023",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,
Secure Justice,,,,https://www.notion.so/3d1c80dcd30a42fa96f776f0095f4485,No,,https://secure-justice.org/,Secure Justice: Prompt Chain - Understand Data Access Policy (https://www.notion.so/Secure-Justice-Prompt-Chain-Understand-Data-Access-Policy-c7bea3389f49498689df1bc011805019?pvs=21),"https://docs.google.com/document/d/10K4ATm8bih3GAMyHgGJqhT08cD3b-v9rVSnsPw2psIE/edit,https://www.figma.com/design/l7CZG8eEW4ExuLhkPHHj9O/SJ-Prototype?m=auto&t=Sy7WsO15O0MrzSXo-1",Secure Justice | Design Tools (https://www.notion.so/Secure-Justice-Design-Tools-7b3bcad99a9649faab615ac553d4c1f0?pvs=21),"Secure Justice (www.secure-justice.org), a California-based nonprofit, is looking for an organization to work with on designing a tool or suite of tools that will allow Californians to explore, understand, and work with data about them that companies are collecting and storing.",,,complete,"https://www.notion.so/8b7cfae92b5a4cfbaf5059875c39a8e0, https://www.notion.so/a044670d0fa8407196f3243cb74080d0, https://www.notion.so/ce3f6804a00e4a198a21cdd92475b288","georgia-bullen,katie-wilson,philliph-drummond,jamie-tomasello,aaron-brunmeier,nicola-pratt",,,Publish,"July 10, 2023 → March 31, 2024",securejustice,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Jamie Tomasello (https://www.notion.so/Jamie-Tomasello-dda77ed688d3440a8472b3cf7662d86e?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,
Pigeon,,,,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,No,,https://pigeonbot.com/,,,Throneless Tech | Pigeon Coaching (https://www.notion.so/Throneless-Tech-Pigeon-Coaching-0003eb8190604cba9458c13e665d7eb5?pvs=21),Coaching for PigeonBot > a Slack chatbot app for abortion access,,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"katie-wilson,philliph-drummond",,,Publish,"April 3, 2023 → November 30, 2023",,"Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21)",,
Session,,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/6b2a9392824c44b0bbf883a16d4f4fc9",No,,http://www.getsession.org/,,,OTF SUA Lab 2 | T-011 | Session App SUA Audit and Coaching (https://www.notion.so/OTF-SUA-Lab-2-T-011-Session-App-SUA-Audit-and-Coaching-9f9c93abffa14fce95a5c49797a3f101?pvs=21),,,,complete,,"abhishek-sharma,eriol-fox",,,Publish,"May 1, 2023 → May 17, 2024",,"Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,
Dangerzone,,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/36844188ca0a4cbf89d1b5726886f016",No,,https://dangerzone.rocks/,,,OTF SUA Lab 2 | T-016 | Dangerzone UX & Design Support (https://www.notion.so/OTF-SUA-Lab-2-T-016-Dangerzone-UX-Design-Support-490a5feadbb0436fafb310db52eb6623?pvs=21),,,https://www.notion.so/3623745bf1ea4624b0dcb09e6ab1c657,complete,,,,,Publish,"October 27, 2023 → May 17, 2024",,,,
WHO DPG Community Manager,,,,https://www.notion.so/ca6e84637d0c4d03b500eb9dd9498993,No,,,,,"WHO 1, 2 | WHO-SHQ-WSE-RFP-24-3080 | Pandemic and Epidemic Intelligence Systems OS Community Managers & Community of Practice Managers (Collaboratory) (https://www.notion.so/WHO-1-2-WHO-SHQ-WSE-RFP-24-3080-Pandemic-and-Epidemic-Intelligence-Systems-OS-Community-Manager-5bdb6b46b05943568617200b7663de7c?pvs=21)","The WHO OSPO is creating a new external engagement plan to help various teams using, building and/or releasing open source software (OSS), open content, open data and open standards, leverage external contributors by creating a Community Manager and Communities of Practice Program.",,https://www.notion.so/189afc4c3a9e41c18ce366c310819e5c,complete,,"eriol-fox,georgia-bullen",,,Publish,"October 23, 2023 → June 26, 2024",,"Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Digital Society Africa Video,,,,https://www.notion.so/20d0e5a254a34e61b6e56a27cd10fa6a,No,,,,,"Untitled (https://www.notion.so/57eaa39b9db44a4db48dd34b1fee773a?pvs=21), OTF LL 1 | T-007 | Digital Society Africa (DSA) Video V2 (https://www.notion.so/OTF-LL-1-T-007-Digital-Society-Africa-DSA-Video-V2-9fb97593ce2b46afaa12bb97ec511f01?pvs=21)",Creation of video content to support Digital Society Africa to tell its story about thee good work its done in the last 8-9 years to share with a wider audience.,,https://www.notion.so/47cd4421d3c94646ba043feb120383db,complete,https://www.notion.so/b2cc8850c29c440f90d23cb021d75ab3,,,,Publish,"December 1, 2023 → January 31, 2024",,,,
OGBV III,,,,https://www.notion.so/ba117a16228f447fa55e0c671110ab4b,No,,,,,Web Foundation | TPDL OGBV III (https://www.notion.so/Web-Foundation-TPDL-OGBV-III-1c3542234f344f8895cad38af5dcb1b2?pvs=21),,,,complete,,"georgia-bullen,ann-marie-carrothers,veszna-wessenauer",,,Publish,"September 4, 2023 → March 31, 2024",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ann Marie Carrothers (https://www.notion.so/Ann-Marie-Carrothers-0a176fb97a674058845d0868f6568647?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21)",,
DITF Fellow Report,,,,https://www.notion.so/20d0e5a254a34e61b6e56a27cd10fa6a,No,,,,,OTF LL 1 | T-2 | DITF Fellow Report (https://www.notion.so/OTF-LL-1-T-2-DITF-Fellow-Report-d672c34217cd437cb5bcbe06e7d1d7c8?pvs=21),,,https://www.notion.so/8972f11e5a284638a9d523fa5fea23b2,complete,,"georgia-bullen,eriol-fox",,,Publish,"July 24, 2023 → February 29, 2024",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,
Mozilla Data Futures Lab,,,,https://www.notion.so/a325e032e0cd4af8932322935cf907ee,No,,,,,Mozilla Foundation | Data Futures Lab Coaching (https://www.notion.so/Mozilla-Foundation-Data-Futures-Lab-Coaching-d0ca773bdbf145228a1796a31e407572?pvs=21),,,,paused,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"molly-wilson,georgia-bullen,aaron-brunmeier",,,Publish,"June 29, 2023 → December 31, 2023",,"Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21)",,
Vinted,,,,https://www.notion.so/6cfde29c34f34f4b9c1717cb081cf443,No,,,,,Vinted | Privacy Narrative (https://www.notion.so/Vinted-Privacy-Narrative-8071f5d20da94ad9851b850f46770284?pvs=21),,,,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/4deb30c6a0dd44d6b479f0aa5dcf701f, https://www.notion.so/8f6862b1080949ff8fa7e195ae1fddf8","molly-wilson,abhishek-sharma,veszna-wessenauer,georgia-bullen",,,Publish,"July 17, 2023 → February 29, 2024",,"Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
GBAW,,,,https://www.notion.so/0eeb7612a08246db94e166f487553696,No,,,,,Jigsaw | GBAW High-Risk Recruitment (https://www.notion.so/Jigsaw-GBAW-High-Risk-Recruitment-0e04a8d8632c4c83846ed6fa0ae0d9c6?pvs=21),,,,complete,,"georgia-bullen,jamie-tomasello,philliph-drummond",,,Publish,"May 3, 2023 → August 30, 2023",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Jamie Tomasello (https://www.notion.so/Jamie-Tomasello-dda77ed688d3440a8472b3cf7662d86e?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21)",,
Bitpart,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,,,,,OTF SUA Lab 2 | T-015 | Bitpart UX Consultation & Coaching (https://www.notion.so/OTF-SUA-Lab-2-T-015-Bitpart-UX-Consultation-Coaching-c8abbcb5c05e4abf832ddfe5f7e33b8f?pvs=21),,,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,complete,,,,,Publish,"October 2, 2023 → October 31, 2024",,,,
2i2c,,,,"https://www.notion.so/47d683f2cb0c4e45bfc97a4882dc1601, https://www.notion.so/76895a88010c429fb57b6d072dc30dde",No,,,,,CS&S | 2i2c Retreat 2023 (https://www.notion.so/CS-S-2i2c-Retreat-2023-0fc3c409d40e4750b5921bd90bed8769?pvs=21),,,,complete,,"katie-wilson,eriol-fox",,,Publish,"April 17, 2023 → May 15, 2023",,"Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21)",,
Beeper,,,,https://www.notion.so/f4b641c87f6f44d1ba8885955dd945e4,No,,,,,Beeper (https://www.notion.so/Beeper-7fb2bf241c2744c1b7934a90c46ee087?pvs=21),,,,cancelled / OBE,,ame-elliott,,,Publish,,,Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21),,
A11YLab Website,,,,"https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d, https://www.notion.so/e8c4751bbbf641bc81c7e92d1cab627e",No,,,,,OTF SUA Lab 2 | T-006 | AYUDa: A11YLab Website Usability & Design (https://www.notion.so/OTF-SUA-Lab-2-T-006-AYUDa-A11YLab-Website-Usability-Design-1b0570f831bb46939a1620382262a28e?pvs=21),Improve the design and usability of  A11y Lab website,,,complete,,"ngọc-triệu,abhishek-sharma,veszna-wessenauer,georgia-bullen",,,Publish,"March 13, 2023 → August 14, 2023",,"ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Connect Humanity Retreat + Strategic Planning,,,,https://www.notion.so/1b785caff354479bb68beb91c42be8cf,No,,,,,Connect Humanity | Retreat + Strategic Planning (https://www.notion.so/Connect-Humanity-Retreat-Strategic-Planning-5696034ce37b49e2a883b6ad167ddc03?pvs=21),,,,complete,,"susan-kennedy,georgia-bullen,jamie-tomasello",,,Publish,"March 27, 2023 → September 15, 2023",,"Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Jamie Tomasello (https://www.notion.so/Jamie-Tomasello-dda77ed688d3440a8472b3cf7662d86e?pvs=21)",,
M-Lab Coaching,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,,,,,OTF SUA Lab 2 | T-009 | Coaching M-Lab 2023 (https://www.notion.so/OTF-SUA-Lab-2-T-009-Coaching-M-Lab-2023-70bd097e652e48ea88516ce2caf60adc?pvs=21),Coaching the Measurement Lab team around data visualization needs.,,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,georgia-bullen,,,Publish,"March 13, 2023 → November 30, 2023",,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
SJAC,,,,https://www.notion.so/c6e5b15d4ce540c0a0b987ddb8edd5d7,No,,,,,SJAC | Bayanat Usability Testing for “Securing HR Documentation Software” (https://www.notion.so/SJAC-Bayanat-Usability-Testing-for-Securing-HR-Documentation-Software-d1aca3cb812944df9a6e271923ff1516?pvs=21),,,,current,,"georgia-bullen,veszna-wessenauer,abhishek-sharma,katie-wilson,aaron-brunmeier",,,Publish,"September 30, 2022 → September 30, 2025",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21)",,
Signal,,,,https://www.notion.so/a3374634a7344410aece1b0a531acc4d,No,,,,,Signal | East Asia Research (https://www.notion.so/Signal-East-Asia-Research-6caa8509620a488783cb236d8b55dbf5?pvs=21),"To better understand barriers to the adoption of Signal in East Asia. There are teams focused on design, support, communications and growth, and there has been collaboration with user researchers in the past, but there is not currently a sustained practice around user research that feeds into product and growth planning. Aligned with some planned travel to better understand the SE Asia market and plan for the next few years, there is an opportunity to align some user research activities to better contextualize use of Signal in Japan, Korea and Taiwan specifically, and E Asia more broadly, particularly as the work can inform more politically volatile locations such has Hong Kong. This project and collaboration provides an opportunity to pilot incorporating user research into the design and development practice, as well as learn and explore some key research questions that will inform product and growth decision making over the next few years.

The Research Goals are:
• Understand expectations around privacy and communication in Japan, Taiwan and Korea, and situate them within the E. Asia context
• Understand how expectations and cultural norms impact user behavior when needing to communicate and share personal information",,,complete,,"georgia-bullen,cade-diehm,veszna-wessenauer,benjamin-royer,nicola-pratt",,,Publish,"March 1, 2023 → May 31, 2023",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21), Benjamin Royer (https://www.notion.so/Benjamin-Royer-34226c0905064a118e1c494c26e29d2b?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,
TPDL: Carolina Are Workshops,,,,https://www.notion.so/ba117a16228f447fa55e0c671110ab4b,No,,,,,Web Foundation | TPDL Carolina Are Malicious Flagging Workshops (https://www.notion.so/Web-Foundation-TPDL-Carolina-Are-Malicious-Flagging-Workshops-9f42e6530acc4b5197f04f8ca2fccd20?pvs=21),,,,complete,,"ann-marie-carrothers,eriol-fox,georgia-bullen,ame-elliott",,,Publish,,,"Ann Marie Carrothers (https://www.notion.so/Ann-Marie-Carrothers-0a176fb97a674058845d0868f6568647?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,
"Communications Design - Outputs, Tools, Process",,,,https://www.notion.so/20d0e5a254a34e61b6e56a27cd10fa6a,No,,,,,"OTF LL 1 | T-2 | Communications Design Templates - Outputs, Tools, Process (Communications Toolkit for Civic & Nonprofit Tech) (https://www.notion.so/OTF-LL-1-T-2-Communications-Design-Templates-Outputs-Tools-Process-Communications-Toolkit-f-1b51cb9c80c1468fbafecf73bbd16e98?pvs=21)",,,,complete,https://www.notion.so/08e125b534fd49ea984c04004f660392,"abhishek-sharma,georgia-bullen,nicola-pratt,eriol-fox,molly-wilson",,,Publish,"February 20, 2023 → January 31, 2024",,"Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21)",,
